raw_row_number,company_name_raw,stand_no,hall,sector,products,country,website_text,website_url,company_column,details,source_url
76,"Changzhou Sunlight Pharmaceutical Co., Ltd.",,,,,,,,"Changzhou Sunlight Pharmaceutical Co., Ltd.",https://biomiddleeast.com/exhibitors/changzhou-sunlight-pharmaceutical-co-ltd,https://biomiddleeast.com/exhibitor-list-2026
77,"HEBEI SUNCO BIOTECH CO., LTD",,,,,,,,"HEBEI SUNCO BIOTECH CO., LTD",https://biomiddleeast.com/exhibitors/hebei-sunco-biotech-co-ltd,https://biomiddleeast.com/exhibitor-list-2026
78,Aminowill (wuxi Jinghai Amino Acid),,,,,,,,Aminowill (wuxi Jinghai Amino Acid),https://biomiddleeast.com/exhibitors/aminowill-wuxi-jinghai-amino-acid,https://biomiddleeast.com/exhibitor-list-2026
79,"SHIJIAZHUANG NO.4 PHARMACEUTICAL CO., LTD.",,,,,,,,"SHIJIAZHUANG NO.4 PHARMACEUTICAL CO., LTD.",https://biomiddleeast.com/exhibitors/shijiazhuang-no4-pharmaceutical-co-ltd,https://biomiddleeast.com/exhibitor-list-2026
80,"SHENZHEN BESTFOIL MATERIAL TECHNOLOGY CO., LTD",,,,,,,,"SHENZHEN BESTFOIL MATERIAL TECHNOLOGY CO., LTD",https://biomiddleeast.com/exhibitors/shenzhen-bestfoil-material-technology-co-ltd,https://biomiddleeast.com/exhibitor-list-2026
81,"NINGXIA TAIYICIN BIOTECH CO.,LTD",,,,,,,,"NINGXIA TAIYICIN BIOTECH CO.,LTD",https://biomiddleeast.com/exhibitors/ningxia-taiyicin-biotech-coltd,https://biomiddleeast.com/exhibitor-list-2026
82,"BEJING HMYA MEDICAL TECHNOLOGY CO., LTD.",,,,,,,,"BEJING HMYA MEDICAL TECHNOLOGY CO., LTD.",https://biomiddleeast.com/exhibitors/bejing-hmya-medical-technology-co-ltd,https://biomiddleeast.com/exhibitor-list-2026
83,"BrightGene Bio-Medical Technology Co.,Ltd",,,,,,,,"BrightGene Bio-Medical Technology Co.,Ltd",https://biomiddleeast.com/exhibitors/brightgene-bio-medical-technology-coltd,https://biomiddleeast.com/exhibitor-list-2026
84,"CHONGQING TIANDI PHARMACEUTICAL CO., LTD.",,,,,,,,"CHONGQING TIANDI PHARMACEUTICAL CO., LTD.",https://biomiddleeast.com/exhibitors/chongqing-tiandi-pharmaceutical-co-ltd,https://biomiddleeast.com/exhibitor-list-2026
85,"SHANGHAI HUARUI AEROSOL CO., LTD",,,,,,,,"SHANGHAI HUARUI AEROSOL CO., LTD",https://biomiddleeast.com/exhibitors/shanghai-huarui-aerosol-co-ltd,https://biomiddleeast.com/exhibitor-list-2026
86,"ZHEJIANG TIANTAI PHARMACEUTICAL CO., LTD",,,,,,,,"ZHEJIANG TIANTAI PHARMACEUTICAL CO., LTD",https://biomiddleeast.com/exhibitors/zhejiang-tiantai-pharmaceutical-co-ltd,https://biomiddleeast.com/exhibitor-list-2026
87,"Zhejiang Jiuzhou Pharmaceutical Co.,ltd.",,,,,,,,"Zhejiang Jiuzhou Pharmaceutical Co.,ltd.",https://biomiddleeast.com/exhibitors/zhejiang-jiuzhou-pharmaceutical-coltd,https://biomiddleeast.com/exhibitor-list-2026
88,"Shaanxi Bodie Plastic Co., Ltd.",,,,,,,,"Shaanxi Bodie Plastic Co., Ltd.",https://biomiddleeast.com/exhibitors/shaanxi-bodie-plastic-co-ltd,https://biomiddleeast.com/exhibitor-list-2026
89,Acebright Group,,,,,,,,Acebright Group,https://biomiddleeast.com/exhibitors/acebright-group,https://biomiddleeast.com/exhibitor-list-2026
90,"NEWLAND PHARMACEUTICAL CO., LTD",,,,,,,,"NEWLAND PHARMACEUTICAL CO., LTD",https://biomiddleeast.com/exhibitors/newland-pharmaceutical-co-ltd,https://biomiddleeast.com/exhibitor-list-2026
91,FOSUN PHARMA,,,,,,,,FOSUN PHARMA,https://biomiddleeast.com/exhibitors/fosun-pharma,https://biomiddleeast.com/exhibitor-list-2026
92,"QINGDAO BRIGHTMOON SEAWEED GROUP CO.,LTD",,,,,,,,"QINGDAO BRIGHTMOON SEAWEED GROUP CO.,LTD",https://biomiddleeast.com/exhibitors/qingdao-brightmoon-seaweed-group-coltd,https://biomiddleeast.com/exhibitor-list-2026
93,NANJING PHARMACARE COMPANY LIMITED,,,,,,,,NANJING PHARMACARE COMPANY LIMITED,https://biomiddleeast.com/exhibitors/nanjing-pharmacare-company-limited,https://biomiddleeast.com/exhibitor-list-2026
94,"Sichuan Xieli Pharmaceutical Co., Ltd",,,,,,,,"Sichuan Xieli Pharmaceutical Co., Ltd",https://biomiddleeast.com/exhibitors/sichuan-xieli-pharmaceutical-co-ltd,https://biomiddleeast.com/exhibitor-list-2026
95,"AIM Vaccine Co., Ltd",,,,,,,,"AIM Vaccine Co., Ltd",https://biomiddleeast.com/exhibitors/aim-vaccine-co-ltd,https://biomiddleeast.com/exhibitor-list-2026
96,"Chengdu Puretech Biotechnology Co., Ltd",,,,,,,,"Chengdu Puretech Biotechnology Co., Ltd",https://biomiddleeast.com/exhibitors/chengdu-puretech-biotechnology-co-ltd,https://biomiddleeast.com/exhibitor-list-2026
97,"NANJING NUOPHARMA TECHNOLOGY CO., LTD.",,,,,,,,"NANJING NUOPHARMA TECHNOLOGY CO., LTD.",https://biomiddleeast.com/exhibitors/nanjing-nuopharma-technology-co-ltd,https://biomiddleeast.com/exhibitor-list-2026
98,"SUZHOU EVERFORTUNE CO., LTD.",,,,,,,,"SUZHOU EVERFORTUNE CO., LTD.",https://biomiddleeast.com/exhibitors/suzhou-everfortune-co-ltd,https://biomiddleeast.com/exhibitor-list-2026
99,"SHANDONG SHENGLU PHARMACEUTICAL CO.,LTD",,,,,,,,"SHANDONG SHENGLU PHARMACEUTICAL CO.,LTD",https://biomiddleeast.com/exhibitors/shandong-shenglu-pharmaceutical-coltd,https://biomiddleeast.com/exhibitor-list-2026
100,"Nanjing Joyin Pharmachem Co., Ltd",,,,,,,,"Nanjing Joyin Pharmachem Co., Ltd",https://biomiddleeast.com/exhibitors/nanjing-joyin-pharmachem-co-ltd,https://biomiddleeast.com/exhibitor-list-2026
101,"YUKING WATER SOLUBLE MATERIAL TECH CO.,LTD.",,,,,,,,"YUKING WATER SOLUBLE MATERIAL TECH CO.,LTD.",https://biomiddleeast.com/exhibitors/yuking-water-soluble-material-tech-coltd,https://biomiddleeast.com/exhibitor-list-2026
102,"Shandong Wiskind Clean Technology Co., Ltd.",,,,,,,,"Shandong Wiskind Clean Technology Co., Ltd.",https://biomiddleeast.com/exhibitors/shandong-wiskind-clean-technology-co-ltd,https://biomiddleeast.com/exhibitor-list-2026
103,"Shandong Pharmaceutical Glass Co., Ltd.",,,,,,,,"Shandong Pharmaceutical Glass Co., Ltd.",https://biomiddleeast.com/exhibitors/shandong-pharmaceutical-glass-co-ltd,https://biomiddleeast.com/exhibitor-list-2026
104,Novartis Saudi Ltd.,,,,,,,,Novartis Saudi Ltd.,https://biomiddleeast.com/exhibitors/novartis-saudi-ltd,https://biomiddleeast.com/exhibitor-list-2026
105,Pharco International Company,,,,,,,,Pharco International Company,https://biomiddleeast.com/exhibitors/pharco-international-company,https://biomiddleeast.com/exhibitor-list-2026
106,The Jordanian Pharmaceutical Manufacturing Co.,,,,,,,,The Jordanian Pharmaceutical Manufacturing Co.,https://biomiddleeast.com/exhibitors/jordanian-pharmaceutical-manufacturing-co,https://biomiddleeast.com/exhibitor-list-2026
107,Saudi National Institute of Health (Saudi NIH),,,,,,,,Saudi National Institute of Health (Saudi NIH),https://biomiddleeast.com/exhibitors/saudi-national-institute-health-saudi-nih,https://biomiddleeast.com/exhibitor-list-2026
